Date;S&Pprice;;;;;;;
16-Nov-28;23.37;;;;;;;
20-Nov-28;23.57;;;;;;;
21-Nov-28;23.22;;;;;;;
22-Nov-28;23.52;;;;;;;
23-Nov-28;23.7;;;;;;;
26-Nov-28;23.8;;;;;;;
27-Nov-28;23.91;;;;;;;
28-Nov-28;24.19;;;;;;;
30-Nov-28;24.28;;;;;;;
3-Dec-28;23.85;;;;;;;
5-Dec-28;23.81;;;;;;;
7-Dec-28;22.36;;;;;;;
10-Dec-28;22.31;;;;;;;
11-Dec-28;22.74;;;;;;;
12-Dec-28;22.52;;;;;;;
13-Dec-28;22.48;;;;;;;
14-Dec-28;22.53;;;;;;;
17-Dec-28;22.44;;;;;;;
18-Dec-28;22.7;;;;;;;
19-Dec-28;22.98;;;;;;;
20-Dec-28;23.07;;;;;;;
21-Dec-28;23.33;;;;;;;
24-Dec-28;23.54;;;;;;;
26-Dec-28;23.44;;;;;;;
27-Dec-28;23.64;;;;;;;
28-Dec-28;23.98;;;;;;;
31-Dec-28;24.35;;;;;;;
2-Jan-29;24.81;;;;;;;
3-Jan-29;24.86;;;;;;;
4-Jan-29;24.85;;;;;;;
7-Jan-29;24.25;;;;;;;
8-Jan-29;24.17;;;;;;;
9-Jan-29;24.54;;;;;;;
10-Jan-29;24.58;;;;;;;
14-Jan-29;24.59;;;;;;;
15-Jan-29;24.23;;;;;;;
16-Jan-29;24.56;;;;;;;
17-Jan-29;24.69;;;;;;;
18-Jan-29;24.77;;;;;;;
22-Jan-29;25.07;;;;;;;
23-Jan-29;25.22;;;;;;;
24-Jan-29;25.06;;;;;;;
25-Jan-29;25.48;;;;;;;
28-Jan-29;25.35;;;;;;;
29-Jan-29;25.36;;;;;;;
30-Jan-29;25.45;;;;;;;
31-Jan-29;25.74;;;;;;;
1-Feb-29;25.84;;;;;;;
4-Feb-29;25.64;;;;;;;
5-Feb-29;25.7;;;;;;;
6-Feb-29;25.49;;;;;;;
7-Feb-29;24.71;;;;;;;
8-Feb-29;24.44;;;;;;;
11-Feb-29;24.98;;;;;;;
13-Feb-29;24.95;;;;;;;
18-Feb-29;24.39;;;;;;;
19-Feb-29;24.38;;;;;;;
25-Feb-29;24.91;;;;;;;
27-Feb-29;25.25;;;;;;;
28-Feb-29;25.59;;;;;;;
1-Mar-29;25.83;;;;;;;
5-Mar-29;25.32;;;;;;;
6-Mar-29;24.92;;;;;;;
7-Mar-29;25.15;;;;;;;
8-Mar-29;25.31;;;;;;;
12-Mar-29;24.97;;;;;;;
13-Mar-29;25.24;;;;;;;
14-Mar-29;25.73;;;;;;;
15-Mar-29;26.08;;;;;;;
18-Mar-29;26.04;;;;;;;
19-Mar-29;26.03;;;;;;;
20-Mar-29;26.02;;;;;;;
21-Mar-29;25.9;;;;;;;
22-Mar-29;25.55;;;;;;;
25-Mar-29;24.51;;;;;;;
27-Mar-29;25.09;;;;;;;
28-Mar-29;25.53;;;;;;;
1-Apr-29;24.88;;;;;;;
2-Apr-29;25.17;;;;;;;
4-Apr-29;25.3;;;;;;;
5-Apr-29;25.05;;;;;;;
8-Apr-29;24.83;;;;;;;
9-Apr-29;24.63;;;;;;;
10-Apr-29;24.78;;;;;;;
15-Apr-29;25.0;;;;;;;
18-Apr-29;25.43;;;;;;;
19-Apr-29;25.41;;;;;;;
23-Apr-29;25.85;;;;;;;
24-Apr-29;25.75;;;;;;;
25-Apr-29;25.63;;;;;;;
26-Apr-29;25.58;;;;;;;
30-Apr-29;25.94;;;;;;;
1-May-29;25.99;;;;;;;
2-May-29;26.11;;;;;;;
3-May-29;26.37;;;;;;;
6-May-29;26.32;;;;;;;
7-May-29;26.07;;;;;;;
8-May-29;26.18;;;;;;;
10-May-29;26.34;;;;;;;
14-May-29;25.95;;;;;;;
16-May-29;25.97;;;;;;;
17-May-29;26.09;;;;;;;
20-May-29;25.39;;;;;;;
22-May-29;24.76;;;;;;;
24-May-29;25.12;;;;;;;
27-May-29;24.2;;;;;;;
29-May-29;24.62;;;;;;;
3-Jun-29;25.27;;;;;;;
14-Jun-29;25.93;;;;;;;
17-Jun-29;26.41;;;;;;;
18-Jun-29;26.42;;;;;;;
20-Jun-29;26.47;;;;;;;
21-Jun-29;26.62;;;;;;;
25-Jun-29;26.9;;;;;;;
26-Jun-29;27.06;;;;;;;
27-Jun-29;27.11;;;;;;;
28-Jun-29;27.41;;;;;;;
1-Jul-29;27.77;;;;;;;
2-Jul-29;28.06;;;;;;;
3-Jul-29;28.18;;;;;;;
5-Jul-29;28.32;;;;;;;
8-Jul-29;28.37;;;;;;;
9-Jul-29;28.28;;;;;;;
10-Jul-29;28.2;;;;;;;
11-Jul-29;28.26;;;;;;;
12-Jul-29;28.57;;;;;;;
15-Jul-29;28.45;;;;;;;
16-Jul-29;28.65;;;;;;;
17-Jul-29;28.72;;;;;;;
18-Jul-29;28.66;;;;;;;
19-Jul-29;28.76;;;;;;;
22-Jul-29;28.43;;;;;;;
23-Jul-29;28.83;;;;;;;
24-Jul-29;28.64;;;;;;;
25-Jul-29;28.77;;;;;;;
30-Jul-29;28.5;;;;;;;
31-Jul-29;28.88;;;;;;;
1-Aug-29;29.08;;;;;;;
2-Aug-29;29.56;;;;;;;
5-Aug-29;29.54;;;;;;;
6-Aug-29;29.43;;;;;;;
7-Aug-29;29.13;;;;;;;
8-Aug-29;29.47;;;;;;;
9-Aug-29;28.38;;;;;;;
12-Aug-29;29.27;;;;;;;
13-Aug-29;29.53;;;;;;;
14-Aug-29;29.62;;;;;;;
15-Aug-29;29.67;;;;;;;
16-Aug-29;30.22;;;;;;;
19-Aug-29;30.5;;;;;;;
20-Aug-29;30.68;;;;;;;
21-Aug-29;30.55;;;;;;;
22-Aug-29;30.79;;;;;;;
23-Aug-29;31.09;;;;;;;
26-Aug-29;31.07;;;;;;;
27-Aug-29;31.05;;;;;;;
28-Aug-29;30.99;;;;;;;
29-Aug-29;31.29;;;;;;;
30-Aug-29;31.71;;;;;;;
3-Sep-29;31.82;;;;;;;
4-Sep-29;31.72;;;;;;;
5-Sep-29;31.02;;;;;;;
6-Sep-29;31.83;;;;;;;
9-Sep-29;31.67;;;;;;;
10-Sep-29;31.1;;;;;;;
11-Sep-29;31.53;;;;;;;
12-Sep-29;31.17;;;;;;;
13-Sep-29;31.38;;;;;;;
16-Sep-29;31.86;;;;;;;
17-Sep-29;31.6;;;;;;;
18-Sep-29;31.68;;;;;;;
19-Sep-29;31.73;;;;;;;
20-Sep-29;31.39;;;;;;;
24-Sep-29;30.8;;;;;;;
25-Sep-29;30.85;;;;;;;
26-Sep-29;31.13;;;;;;;
27-Sep-29;30.27;;;;;;;
30-Sep-29;30.16;;;;;;;
1-Oct-29;29.98;;;;;;;
2-Oct-29;30.2;;;;;;;
3-Oct-29;28.95;;;;;;;
7-Oct-29;30.44;;;;;;;
8-Oct-29;30.34;;;;;;;
10-Oct-29;30.81;;;;;;;
11-Oct-29;30.76;;;;;;;
15-Oct-29;30.3;;;;;;;
16-Oct-29;29.24;;;;;;;
17-Oct-29;29.69;;;;;;;
18-Oct-29;28.84;;;;;;;
21-Oct-29;27.73;;;;;;;
22-Oct-29;28.27;;;;;;;
23-Oct-29;26.6;;;;;;;
25-Oct-29;26.12;;;;;;;
29-Oct-29;20.43;;;;;;;
30-Oct-29;22.99;;;;;;;
31-Oct-29;24.15;;;;;;;
4-Nov-29;22.88;;;;;;;
7-Nov-29;21.37;;;;;;;
11-Nov-29;19.86;;;;;;;
12-Nov-29;18.73;;;;;;;
15-Nov-29;20.3;;;;;;;
18-Nov-29;20.09;;;;;;;
19-Nov-29;20.7;;;;;;;
20-Nov-29;21.27;;;;;;;
